data_aula,nome_turma,conteudo,obs,ensino_a_distancia,status_aula
2014-08-05,S049,"Introdução a disciplina. Plano de ensino. Situação do tema banco de dados dentro da computação. Arquivos convencionais, problemas; conceitos de banco de dados (BD) e SGBD: noções gerais de um sistema de BD; arquitetura de SGBD; gerência de bancos funções básicas de SGBD; usuários de BD;",,0,0
2014-08-12,S049,"Abstração de dados.  Modelo conceitual; modelo lógico; modelo físico. Introdução a modelagem conceitual.  modelo de dados entidade relacionamento (ER)",,0,0
2014-08-19,S049,"Modelagem conceitual: objetivos; propriedades de um modelo conceitual; notações. Estudo de caso.",NULL,NULL,NULL
2014-08-26,S049,"modelagem conceitual (mecanismos de abstração; classificação/instanciação; generalização/especialização;). Exercícios de fixação. Descrição do trabalho G1.",NULL,NULL,NULL
2014-09-02,S049,"Modelagem conceitual (restrições de integridade, construtores, notação diagramática, semelhanças e diferenças entre modelos conceituais).",NULL,NULL,NULL
2014-09-09,S049,"Projeto de banco de dados (transformação de diagramas  conceituais para modelos de banco de dados I ). Exercícios práticos.",NULL,NULL,NULL
2014-09-16,S049,"Projeto de banco de dados (transformação de diagramas conceituais para modelos de bancos de dados II). Exercícios práticos.",NULL,NULL,NULL
2014-09-23,S049,"Apresentação dos trabalhos. Revisão do conteúdo para a avaliação. Exercícios práticos.",NULL,NULL,NULL
2014-09-30,S049,"Avaliação teórica/prática grau 1.",NULL,NULL,NULL
2014-10-07,S049,"Entrega das notas e correção da prova. Descrição do trabalho.Introdução à normalização de modelos.",NULL,NULL,NULL
2014-10-14,S049,"Estudo de caso da normalização de modelos. Linguagem de definição de dados (DDL). Linguagem de modelagem de banco de dados.  Exercícios práticos.",NULL,NULL,NULL
2014-10-21,S049,"Manipulação de dados (DML). Andamento do trabalho.",NULL,NULL,NULL
2014-10-28,S049,"Restrições de integridade. Exercícios práticos.",NULL,NULL,NULL
2014-11-04,S049,,NULL,NULL,NULL
2014-11-11,S049,,NULL,NULL,NULL
2014-11-18,S049,,NULL,NULL,NULL
2014-11-25,S049,,NULL,NULL,NULL
2014-12-02,S049,,NULL,NULL,NULL
2014-12-09,S049,,NULL,NULL,NULL
2014-12-16,S049,,NULL,NULL,NULL
