data_aula,aluno_matricula,p1,p2,p3,p4
2014-02-20,15726,1,1,1,1
2014-02-20,15722,1,1,1,1
2014-02-20,20525,1,1,1,1
2014-02-20,20569,1,1,1,1
2014-02-20,20628,1,1,1,1
2014-02-20,20565,1,1,1,1
2014-02-20,20531,1,1,1,1
2014-02-20,20635,1,1,0,0
2014-02-20,20532,1,1,1,0
2014-02-20,20624,1,1,1,1
2014-02-20,20562,1,1,1,1
2014-02-20,15717,1,1,1,1
2014-02-20,14186,1,1,1,1
2014-02-20,19026,1,1,1,1
2014-02-20,20529,1,1,1,1
2014-02-20,5901,1,1,1,1
2014-02-20,20566,1,1,1,0
2014-02-20,15639,1,1,1,1
2014-02-20,20522,0,0,0,0
2014-02-20,19020,0,0,0,0
2014-02-20,20570,1,1,1,1
2014-02-20,8059,1,1,1,1
2014-02-20,20519,1,1,1,1
2014-02-20,20512,1,1,1,0
2014-02-20,15701,1,1,1,1
2014-02-20,15719,1,1,1,1
2014-02-20,20505,1,1,1,1
2014-02-20,15737,1,1,1,1
2014-02-20,16102,1,1,1,1
2014-02-20,20537,1,1,1,1
2014-03-06,15726,1,1,1,1
2014-03-06,15722,1,1,1,1
2014-03-06,20525,1,1,1,1
2014-03-06,20569,1,1,1,1
2014-03-06,20628,0,1,1,1
2014-03-06,20565,1,1,1,1
2014-03-06,20531,1,1,1,1
2014-03-06,20635,0,0,0,0
2014-03-06,20532,1,1,1,1
2014-03-06,20624,1,1,1,1
2014-03-06,20562,1,1,1,1
2014-03-06,15717,1,1,1,1
2014-03-06,14186,1,1,1,1
2014-03-06,19026,1,1,1,1
2014-03-06,20529,0,0,0,0
2014-03-06,5901,0,0,0,0
2014-03-06,20566,0,1,1,1
2014-03-06,15639,1,1,1,1
2014-03-06,20522,0,0,0,0
2014-03-06,19020,1,1,1,1
2014-03-06,20570,1,1,1,1
2014-03-06,8059,1,1,1,1
2014-03-06,20519,0,0,0,0
2014-03-06,20512,0,0,0,0
2014-03-06,15701,1,1,1,1
2014-03-06,15719,1,1,1,1
2014-03-06,20505,0,1,1,1
2014-03-06,15737,1,1,1,1
2014-03-06,16102,1,1,1,1
2014-03-06,20537,1,1,1,1
2014-03-13,15726,1,1,1,1
2014-03-13,15722,0,0,0,0
2014-03-13,20525,1,1,1,1
2014-03-13,20569,1,1,1,1
2014-03-13,20628,1,1,1,1
2014-03-13,20565,1,1,1,1
2014-03-13,20531,1,1,1,1
2014-03-13,20635,0,0,0,0
2014-03-13,20532,1,1,1,1
2014-03-13,20624,0,1,1,1
2014-03-13,20562,1,1,1,1
2014-03-13,15717,1,1,1,1
2014-03-13,14186,1,1,1,1
2014-03-13,19026,1,1,1,1
2014-03-13,20529,0,0,0,0
2014-03-13,5901,1,1,1,1
2014-03-13,20566,1,1,1,1
2014-03-13,15639,1,1,0,0
2014-03-13,20522,0,0,0,0
2014-03-13,19020,1,1,1,1
2014-03-13,20570,1,1,1,1
2014-03-13,8059,1,1,1,1
2014-03-13,20519,0,0,0,0
2014-03-13,20512,0,0,0,0
2014-03-13,15701,1,1,1,1
2014-03-13,15719,1,1,1,1
2014-03-13,20505,0,1,1,1
2014-03-13,15737,1,1,1,1
2014-03-13,16102,1,1,1,1
2014-03-13,20537,1,1,1,1
2014-03-20,15726,1,1,1,1
2014-03-20,15722,1,1,1,1
2014-03-20,20525,1,1,1,1
2014-03-20,20569,1,1,1,1
2014-03-20,20628,1,1,1,1
2014-03-20,20565,1,1,1,1
2014-03-20,20531,1,1,1,1
2014-03-20,20635,0,0,0,0
2014-03-20,20532,1,1,1,1
2014-03-20,20624,1,1,1,1
2014-03-20,20562,1,1,1,1
2014-03-20,15717,1,1,1,1
2014-03-20,14186,1,1,1,1
2014-03-20,19026,0,0,0,0
2014-03-20,20529,0,0,0,0
2014-03-20,5901,1,1,1,1
2014-03-20,20566,0,0,0,0
2014-03-20,15639,0,0,0,0
2014-03-20,20522,0,0,0,0
2014-03-20,19020,0,0,0,0
2014-03-20,20570,1,1,1,1
2014-03-20,8059,1,1,1,1
2014-03-20,20519,0,0,0,0
2014-03-20,20512,0,0,0,0
2014-03-20,15701,1,1,1,1
2014-03-20,15719,1,1,1,1
2014-03-20,20505,0,0,1,1
2014-03-20,15737,1,1,1,1
2014-03-20,16102,1,1,1,1
2014-03-20,20537,1,1,1,1
2014-03-27,15726,1,1,1,1
2014-03-27,15722,1,1,1,1
2014-03-27,20525,0,0,0,0
2014-03-27,20569,1,1,1,1
2014-03-27,20628,1,1,1,1
2014-03-27,20565,1,1,1,1
2014-03-27,20531,1,1,1,1
2014-03-27,20635,0,0,0,0
2014-03-27,20532,0,0,0,0
2014-03-27,20624,1,1,1,1
2014-03-27,20562,0,0,0,0
2014-03-27,15717,1,1,1,1
2014-03-27,14186,1,1,1,1
2014-03-27,19026,1,1,1,1
2014-03-27,20529,0,0,0,0
2014-03-27,5901,0,0,0,0
2014-03-27,20566,0,0,0,0
2014-03-27,15639,1,1,1,1
2014-03-27,20522,0,0,0,0
2014-03-27,19020,1,1,1,1
2014-03-27,20570,1,1,1,1
2014-03-27,8059,1,1,1,1
2014-03-27,20519,0,0,0,0
2014-03-27,20512,0,0,0,0
2014-03-27,15701,1,1,1,1
2014-03-27,15719,1,1,1,1
2014-03-27,20505,1,1,1,1
2014-03-27,15737,1,1,1,1
2014-03-27,16102,1,1,1,1
2014-03-27,20537,1,1,1,1
