nome_curso,matricula_aluno
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",15726
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",15722
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20569
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20628
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20531
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20624
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",15717
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",14186
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",19024
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",19026
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",15639
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",19020
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",8059
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",15701
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",15719
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",15737
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",16102
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20537
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20525
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20565
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20635
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20532
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20562
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20529
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",5901
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20566
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20522
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20570
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20519
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20512
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",20505
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",21365
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",21367
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",21391
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",21364
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",21393
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",23301
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",22967
"REDES DE COMPUTADORES",16049
"REDES DE COMPUTADORES",20579
"REDES DE COMPUTADORES",17509
"REDES DE COMPUTADORES",13886
"REDES DE COMPUTADORES",17513
"REDES DE COMPUTADORES",20619
"REDES DE COMPUTADORES",20580
"REDES DE COMPUTADORES",258
"SISTEMAS DE TELECOMUNICAÇÕES",17486
"SISTEMAS DE TELECOMUNICAÇÕES",23090
"SISTEMAS DE TELECOMUNICAÇÕES",14216
