name,roles
create-aluno,coordenador
edit-aluno,coordenador
view-aluno,coordenador
list-alunos,coordenador
create-professor,coordenador
edit-professor,coordenador
view-professor,coordenador
list-professor,coordenador
create-coordenador,coordenador
edit-coordenador,coordenador
view-coordenador,coordenador
list-coordenador,coordenador
create-unidade-curricular,coordenador
edit-unidade-curricular,coordenador
view-unidade-curricular,coordenador
list-unidade-curricular,coordenador
create-turma,coordenador
edit-turma,coordenador
view-turma,coordenador
list-turma,coordenador
view-controle-faltas,coordenador
create-aula,coordenador
edit-aula,coordenador
view-aula,coordenador
list-aula,coordenador
view-chamada,coordenador
edit-chamada,coordenador
view-own-turma,"professor,aluno"
edit-own-turma,professor
view-own-controle-faltas,professor
view-own-aula,"professor,aluno"
edit-own-aula,professor
create-own-aula,professor
view-own-chamada,professor
edit-own-chamada,professor
