aluno_matricula,nome_turma,status_aluno
15726,S049,cancelado
15722,S049,NULL
20569,S049,NULL
16049,S049,NULL
20628,S049,NULL
20531,S049,NULL
20579,S049,NULL
17486,S049,NULL
20624,S049,cancelado
15717,S049,NULL
14186,S049,NULL
17509,S049,cancelado
19024,S049,cancelado
19026,S049,NULL
15639,S049,NULL
19020,S049,NULL
8059,S049,NULL
15701,S049,NULL
15719,S049,NULL
13886,S049,NULL
17513,S049,NULL
15737,S049,NULL
20619,S049,NULL
20580,S049,NULL
16102,S049,NULL
20537,S049,NULL
15726,S087N,NULL
15722,S087N,NULL
20569,S087N,NULL
20628,S087N,NULL
20531,S087N,NULL
20624,S087N,NULL
15717,S087N,NULL
14186,S087N,NULL
19026,S087N,NULL
15639,S087N,NULL
19020,S087N,NULL
8059,S087N,NULL
15701,S087N,NULL
15719,S087N,NULL
15737,S087N,NULL
16102,S087N,NULL
20537,S087N,NULL
20525,S087N,cancelado
20565,S087N,NULL
20635,S087N,NULL
20532,S087N,cancelado
20562,S087N,cancelado
20529,S087N,cancelado
5901,S087N,cancelado
20566,S087N,cancelado
20522,S087N,cancelado
20570,S087N,cancelado
20519,S087N,cancelado
20512,S087N,cancelado
20505,S087N,NULL
20569,S049N,NULL
19020,S049N,NULL
13886,S049N,NULL
21365,S049N,NULL
21367,S049N,cancelado
258,S049N,NULL
21391,S049N,NULL
21364,S049N,NULL
21393,S049N,NULL
23090,S049N,NULL
14216,S049N,NULL
23301,S049N,NULL
20569,S091N,NULL
20531,S091N,NULL
14186,S091N,cancelado
15639,S091N,NULL
15701,S091N,NULL
15719,S091N,NULL
15737,S091N,NULL
16102,S091N,NULL
20537,S091N,NULL
21391,S032N,NULL
21364,S032N,NULL
21393,S032N,cancelado
15726,S075N,cancelado
20569,S075N,NULL
20628,S075N,NULL
20531,S075N,NULL
20624,S075N,cancelado
15717,S075N,NULL
19026,S075N,NULL
19020,S075N,NULL
15701,S075N,NULL
15719,S075N,NULL
15737,S075N,NULL
16102,S075N,NULL
