name,roles
create-aluno,"admin,coordenador"
edit-aluno,"admin,coordenador"
view-aluno,"admin,coordenador"
list-alunos,"admin,coordenador"
delete-aluno,"admin,coordenador"
create-professor,"admin,coordenador"
edit-professor,"admin,coordenador"
view-professor,"admin,coordenador"
delete-professor,"admin,coordenador"
list-professor,"admin,coordenador"
create-coordenador,"admin,coordenador"
edit-coordenador,"admin,coordenador"
view-coordenador,"admin,coordenador"
list-coordenador,"admin,coordenador"
create-unidade-curricular,"admin,coordenador"
edit-unidade-curricular,"admin,coordenador"
delete-unidade-curricular,"admin,coordenador"
view-unidade-curricular,"admin,coordenador"
list-unidade-curricular,"admin,coordenador"
create-turma,"admin,coordenador"
edit-turma,"admin,coordenador"
view-turma,"admin,coordenador"
delete-turma,"admin,coordenador"
list-turma,"admin,coordenador"
view-controle-faltas,"admin,coordenador"
create-aula,"admin,coordenador"
edit-aula,"admin,coordenador"
view-aula,"admin,coordenador"
delete-aula,"admin,coordenador"
list-aula,"admin,coordenador"
view-chamada,"admin,coordenador"
edit-chamada,"admin,coordenador"
view-own-turma,"professor,aluno"
edit-own-turma,professor
view-own-controle-faltas,professor
view-own-aula,"professor,aluno"
edit-own-aula,professor
list-own-aulas,professor
delete-own-aula,professor
create-own-aula,professor
view-own-chamada,professor
edit-own-chamada,professor
export-diario,"admin,coordenador"
send-diario,"admin,coordenador"
close-diario,"admin,coordenador"
export-own-diario,professor
send-own-diario,professor
close-own-diario,professor
import-excel,"coordenador,professor"
create-curso,"admin,coordenador"
edit-curso,"admin,coordenador"
view-curso,"admin,coordenador"
delete-curso,"admin,coordenador"
list-cursos,"admin,coordenador"
attach-curso-uc,"admin,coordenador"
detach-curso-uc,"admin,coordenador"
list-cursos-uc,"admin,coordenador"
attach-aluno-turma,"admin,coordenador"
update-aluno-turma,"admin,coordenador"
detach-aluno-turma,"admin,coordenador"
list-alunos-turma,"admin,coordenador"
list-alunos-own-turma,professor
attach-professor-turma,"admin,coordenador"
detach-professor-turma,"admin,coordenador"
list-professores-turma,"admin,coordenador"
list-professores-own-turma,professor
create-ambiente,admin
edit-ambiente,admin
delete-ambiente,admin
view-ambiente,"admin,coordenador,professor"
list-ambientes,"admin,coordenador,professor"
view-ambientes-page,admin
create-tipo-ambiente,admin
edit-tipo-ambiente,admin
delete-tipo-ambiente,admin
view-tipo-ambiente,"admin,coordenador,professor"
list-tipos-ambiente,"admin,coordenador,professor"
create-dispositivo,admin
edit-dispositivo,admin
delete-dispositivo,admin
view-dispositivo,admin
list-dispositivos,admin
view-dispositivos-page,admin
create-tipo-dispositivo,admin
edit-tipo-dispositivo,admin
delete-tipo-dispositivo,admin
view-tipo-dispositivo,admin
list-tipos-dispositivo,admin
list-escopos,admin
